"interaction","name","selected","shared interaction","shared name"
"interacts with","KRAS (interacts with)  SPECC1","false","interacts with","KRAS (interacts with)  SPECC1"
"interacts with","KRAS (interacts with)  YKT6","false","interacts with","KRAS (interacts with)  YKT6"
"interacts with","KRAS (interacts with)  ATP6AP2","false","interacts with","KRAS (interacts with)  ATP6AP2"
"interacts with","KRAS (interacts with)  GOSR1","false","interacts with","KRAS (interacts with)  GOSR1"
"interacts with","KRAS (interacts with)  CD276","false","interacts with","KRAS (interacts with)  CD276"
"interacts with","KRAS (interacts with)  SRPRB","false","interacts with","KRAS (interacts with)  SRPRB"
"interacts with","KRAS (interacts with)  EGLN1","false","interacts with","KRAS (interacts with)  EGLN1"
"interacts with","KRAS (interacts with)  PPFIA1","false","interacts with","KRAS (interacts with)  PPFIA1"
"interacts with","KRAS (interacts with)  F11R","false","interacts with","KRAS (interacts with)  F11R"
"interacts with","KRAS (interacts with)  SUSD5","false","interacts with","KRAS (interacts with)  SUSD5"
"interacts with","KRAS (interacts with)  ATG9A","false","interacts with","KRAS (interacts with)  ATG9A"
"interacts with","KRAS (interacts with)  CDCA3","false","interacts with","KRAS (interacts with)  CDCA3"
"interacts with","KRAS (interacts with)  LLGL1","false","interacts with","KRAS (interacts with)  LLGL1"
"interacts with","KRAS (interacts with)  GORASP2","false","interacts with","KRAS (interacts with)  GORASP2"
"interacts with","KRAS (interacts with)  CDKAL1","false","interacts with","KRAS (interacts with)  CDKAL1"
"interacts with","KRAS (interacts with)  TXNL4A","false","interacts with","KRAS (interacts with)  TXNL4A"
"interacts with","KRAS (interacts with)  VAT1","false","interacts with","KRAS (interacts with)  VAT1"
